"Tabela 3268 - Domicílios particulares permanentes, por classes de rendimento nominal mensal domiciliar"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.";"Brasil e Município";"Ano x Classes de rendimento nominal mensal domiciliar"
"Cód.";"Brasil e Município";"2010"
"Cód.";"Brasil e Município";"Total";"Até 1/2 salário mínimo";"Mais de 1/2 a 1 salário mínimo"
"3536901";"Pedranópolis (SP)";"883";"11";"93"
"3537008";"Pedregulho (SP)";"4801";"30";"505"
"3537107";"Pedreira (SP)";"12730";"34";"643"
"3537156";"Pedrinhas Paulista (SP)";"901";"8";"79"
"3537206";"Pedro de Toledo (SP)";"3239";"110";"664"
"3537305";"Penápolis (SP)";"18907";"177";"1637"
"3537404";"Pereira Barreto (SP)";"8048";"139";"922"
"3537503";"Pereiras (SP)";"2382";"11";"230"
"3537602";"Peruíbe (SP)";"19273";"434";"2557"
"3537701";"Piacatu (SP)";"1630";"27";"191"
"3537800";"Piedade (SP)";"15414";"233";"2158"
"3537909";"Pilar do Sul (SP)";"7798";"100";"1185"
"3538006";"Pindamonhangaba (SP)";"43007";"543";"3638"
"3538105";"Pindorama (SP)";"4807";"24";"365"
"3538204";"Pinhalzinho (SP)";"4228";"37";"503"
"3538303";"Piquerobi (SP)";"1202";"30";"173"
"3538501";"Piquete (SP)";"4410";"86";"536"
"3538600";"Piracaia (SP)";"7826";"63";"778"
"3538709";"Piracicaba (SP)";"112756";"584";"5458"
"3538808";"Piraju (SP)";"9290";"61";"957"
"3538907";"Pirajuí (SP)";"6542";"83";"754"
"3539004";"Pirangi (SP)";"3375";"13";"232"
"3539103";"Pirapora do Bom Jesus (SP)";"4384";"74";"492"
"3539202";"Pirapozinho (SP)";"7740";"100";"799"
"3539301";"Pirassununga (SP)";"22582";"109";"1456"
"3539400";"Piratininga (SP)";"3695";"19";"235"
"3539509";"Pitangueiras (SP)";"10616";"155";"919"
"3539608";"Planalto (SP)";"1415";"12";"162"
"3539707";"Platina (SP)";"1043";"19";"150"
"3539806";"Poá (SP)";"30570";"316";"2548"
"3539905";"Poloni (SP)";"1815";"5";"142"
"3540002";"Pompéia (SP)";"6363";"47";"562"
"3540101";"Pongaí (SP)";"1211";"13";"160"
"3540200";"Pontal (SP)";"11682";"109";"732"
"3540259";"Pontalinda (SP)";"1314";"10";"146"
"3540309";"Pontes Gestal (SP)";"845";"6";"81"
"3540408";"Populina (SP)";"1501";"20";"201"
"3540507";"Porangaba (SP)";"2796";"51";"429"
"3540606";"Porto Feliz (SP)";"14562";"83";"1020"
"3540705";"Porto Ferreira (SP)";"15865";"90";"1160"
"3540754";"Potim (SP)";"4645";"81";"600"
"3540804";"Potirendaba (SP)";"4983";"19";"317"
"3540853";"Pracinha (SP)";"510";"21";"58"
"3540903";"Pradópolis (SP)";"5083";"60";"212"
"3541000";"Praia Grande (SP)";"83445";"914";"6989"
"3541059";"Pratânia (SP)";"1374";"7";"120"
"3541109";"Presidente Alves (SP)";"1347";"22";"183"
