"Tabela 3548 - Pessoas de 10 anos ou mais de idade, Valor do rendimento nominal médio mensal, e mediano mensal, das pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência, segundo a situação do domicílio, o sexo, as classes de rendimento nominal mensal e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Ano x Condição de atividade x Situação do domicílio x Sexo"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"2010"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Total";;;"Economicamente ativas"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Total";;;"Total"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"3512506";"Coroados (SP)";"Total";"Total";"4547";"2255";"2292";"3017";"1677";"1340"
"3512605";"Coronel Macedo (SP)";"Total";"Total";"4287";"2189";"2098";"2190";"1440";"750"
"3512704";"Corumbataí (SP)";"Total";"Total";"3358";"1728";"1630";"2075";"1257";"819"
"3512803";"Cosmópolis (SP)";"Total";"Total";"50073";"24966";"25108";"29105";"17665";"11440"
"3512902";"Cosmorama (SP)";"Total";"Total";"6464";"3277";"3186";"3627";"2235";"1392"
"3513009";"Cotia (SP)";"Total";"Total";"170079";"82804";"87275";"108825";"59285";"49540"
"3513108";"Cravinhos (SP)";"Total";"Total";"27390";"13696";"13694";"16959";"10123";"6836"
"3513207";"Cristais Paulista (SP)";"Total";"Total";"6525";"3342";"3184";"4061";"2483";"1579"
"3513306";"Cruzália (SP)";"Total";"Total";"2026";"988";"1038";"1165";"698";"467"
"3513405";"Cruzeiro (SP)";"Total";"Total";"66693";"32208";"34486";"37443";"21305";"16137"
"3513504";"Cubatão (SP)";"Total";"Total";"100493";"49825";"50668";"57980";"33615";"24365"
"3513603";"Cunha (SP)";"Total";"Total";"18999";"9696";"9303";"11079";"6884";"4195"
"3513702";"Descalvado (SP)";"Total";"Total";"27355";"13442";"13913";"16319";"9399";"6920"
"3513801";"Diadema (SP)";"Total";"Total";"328590";"157664";"170925";"204397";"110504";"93893"
"3513850";"Dirce Reis (SP)";"Total";"Total";"1502";"767";"735";"866";"517";"349"
"3513900";"Divinolândia (SP)";"Total";"Total";"10037";"5026";"5012";"6286";"3758";"2528"
"3514007";"Dobrada (SP)";"Total";"Total";"6646";"3437";"3209";"4138";"2552";"1586"
"3514106";"Dois Córregos (SP)";"Total";"Total";"21255";"10666";"10589";"12370";"7672";"4698"
"3514205";"Dolcinópolis (SP)";"Total";"Total";"1858";"959";"899";"1086";"618";"467"
"3514304";"Dourado (SP)";"Total";"Total";"7612";"3819";"3793";"4640";"2764";"1876"
"3514403";"Dracena (SP)";"Total";"Total";"38699";"19077";"19621";"22632";"12482";"10150"
"3514502";"Duartina (SP)";"Total";"Total";"10803";"5241";"5562";"6444";"3679";"2766"
"3514601";"Dumont (SP)";"Total";"Total";"7031";"3553";"3478";"4420";"2619";"1801"
