"Tabela 616 - Pessoas de 10 anos ou mais de idade por grupos de idade, condição de atividade na semana de referência, sexo e situação do domicílio"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Ano x Condição de atividade x Sexo"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"2010"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Total";"Economicamente ativa";"Não economicamente ativa"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Total";"Total";"Total"
"3501202";"Álvares Florence (SP)";"Total";"15 anos";"...";"...";"..."
"3501202";"Álvares Florence (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3501202";"Álvares Florence (SP)";"Total";"18 e 19 anos";"105";"90";"16"
"3501202";"Álvares Florence (SP)";"Total";"20 a 24 anos";"251";"203";"48"
"3501202";"Álvares Florence (SP)";"Total";"25 a 29 anos";"247";"199";"48"
"3501202";"Álvares Florence (SP)";"Total";"30 a 34 anos";"227";"173";"54"
"3501202";"Álvares Florence (SP)";"Total";"35 a 39 anos";"274";"216";"58"
"3501202";"Álvares Florence (SP)";"Total";"40 a 44 anos";"334";"252";"82"
"3501202";"Álvares Florence (SP)";"Total";"45 a 49 anos";"308";"207";"101"
"3501202";"Álvares Florence (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3501202";"Álvares Florence (SP)";"Total";"50 a 54 anos";"276";"178";"98"
"3501202";"Álvares Florence (SP)";"Total";"55 a 59 anos";"273";"118";"155"
"3501202";"Álvares Florence (SP)";"Total";"60 a 69 anos";"459";"153";"306"
"3501202";"Álvares Florence (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3501202";"Álvares Florence (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3501301";"Álvares Machado (SP)";"Total";"15 a 19 anos";"2068";"958";"1110"
"3501301";"Álvares Machado (SP)";"Total";"15 a 17 anos";"1272";"411";"861"
"3501301";"Álvares Machado (SP)";"Total";"15 anos";"...";"...";"..."
