"Tabela 6778 - Número de estabelecimentos agropecuários, por tipologia, existência de energia elétrica, condição do produtor em relação às terras, residência da pessoa que dirige o estabelecimento, grupos de atividade econômica e grupos de área total"
"Variável - Número de estabelecimentos agropecuários (Unidades)"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"Ano x Tipologia x Existência de energia elétrica x Condição do produtor em relação às terras"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"2017"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"Total";"Agricultura familiar - sim"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"Total";"Total"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"Total";"Total"
"3516804";"Gastão Vidigal (SP)";"Total";"Total";"Total";"209";"137"
"3516853";"Gavião Peixoto (SP)";"Total";"Total";"Total";"56";"29"
"3516903";"General Salgado (SP)";"Total";"Total";"Total";"354";"222"
"3517000";"Getulina (SP)";"Total";"Total";"Total";"218";"130"
"3517109";"Glicério (SP)";"Total";"Total";"Total";"248";"201"
"3517208";"Guaiçara (SP)";"Total";"Total";"Total";"124";"87"
"3517307";"Guaimbê (SP)";"Total";"Total";"Total";"86";"36"
"3517406";"Guaíra (SP)";"Total";"Total";"Total";"313";"149"
"3517505";"Guapiaçu (SP)";"Total";"Total";"Total";"510";"331"
"3517604";"Guapiara (SP)";"Total";"Total";"Total";"819";"737"
"3517703";"Guará (SP)";"Total";"Total";"Total";"146";"78"
"3517802";"Guaraçaí (SP)";"Total";"Total";"Total";"402";"263"
"3517901";"Guaraci (SP)";"Total";"Total";"Total";"189";"119"
"3518008";"Guarani d'Oeste (SP)";"Total";"Total";"Total";"93";"60"
"3518107";"Guarantã (SP)";"Total";"Total";"Total";"298";"193"
"3518206";"Guararapes (SP)";"Total";"Total";"Total";"362";"194"
"3518305";"Guararema (SP)";"Total";"Total";"Total";"221";"123"
"3518404";"Guaratinguetá (SP)";"Total";"Total";"Total";"372";"181"
"3518503";"Guareí (SP)";"Total";"Total";"Total";"764";"530"
"3518602";"Guariba (SP)";"Total";"Total";"Total";"82";"49"
"3518701";"Guarujá (SP)";"Total";"Total";"Total";"9";"9"
"3518800";"Guarulhos (SP)";"Total";"Total";"Total";"83";"59"
"3518859";"Guatapará (SP)";"Total";"Total";"Total";"169";"111"
"3518909";"Guzolândia (SP)";"Total";"Total";"Total";"165";"92"
"3519006";"Herculândia (SP)";"Total";"Total";"Total";"428";"261"
"3519055";"Holambra (SP)";"Total";"Total";"Total";"218";"89"
"3519071";"Hortolândia (SP)";"Total";"Total";"Total";"19";"11"
"3519105";"Iacanga (SP)";"Total";"Total";"Total";"171";"84"
"3519204";"Iacri (SP)";"Total";"Total";"Total";"241";"139"
"3519253";"Iaras (SP)";"Total";"Total";"Total";"432";"313"
"3519303";"Ibaté (SP)";"Total";"Total";"Total";"57";"30"
"3519402";"Ibirá (SP)";"Total";"Total";"Total";"244";"126"
"3519501";"Ibirarema (SP)";"Total";"Total";"Total";"139";"89"
"3519600";"Ibitinga (SP)";"Total";"Total";"Total";"403";"172"
"3519709";"Ibiúna (SP)";"Total";"Total";"Total";"1240";"960"
"3519808";"Icém (SP)";"Total";"Total";"Total";"86";"43"
"3519907";"Iepê (SP)";"Total";"Total";"Total";"266";"189"
"3520004";"Igaraçu do Tietê (SP)";"Total";"Total";"Total";"42";"21"
"3520103";"Igarapava (SP)";"Total";"Total";"Total";"209";"118"
"3520202";"Igaratá (SP)";"Total";"Total";"Total";"120";"47"
"3520301";"Iguape (SP)";"Total";"Total";"Total";"476";"321"
"3520400";"Ilhabela (SP)";"Total";"Total";"Total";"13";"8"
"3520426";"Ilha Comprida (SP)";"Total";"Total";"Total";"6";"6"
"3520442";"Ilha Solteira (SP)";"Total";"Total";"Total";"342";"286"
"3520509";"Indaiatuba (SP)";"Total";"Total";"Total";"332";"230"
"3520608";"Indiana (SP)";"Total";"Total";"Total";"215";"135"
"3520707";"Indiaporã (SP)";"Total";"Total";"Total";"201";"134"
"3520806";"Inúbia Paulista (SP)";"Total";"Total";"Total";"114";"91"
"3520905";"Ipaussu (SP)";"Total";"Total";"Total";"42";"29"
"3521002";"Iperó (SP)";"Total";"Total";"Total";"160";"130"
"3521101";"Ipeúna (SP)";"Total";"Total";"Total";"219";"120"
"3521150";"Ipiguá (SP)";"Total";"Total";"Total";"152";"81"
"3521200";"Iporanga (SP)";"Total";"Total";"Total";"363";"215"
"3521309";"Ipuã (SP)";"Total";"Total";"Total";"105";"45"
"3521408";"Iracemápolis (SP)";"Total";"Total";"Total";"28";"16"
"3521507";"Irapuã (SP)";"Total";"Total";"Total";"211";"127"
"3521606";"Irapuru (SP)";"Total";"Total";"Total";"379";"288"
"3521705";"Itaberá (SP)";"Total";"Total";"Total";"946";"703"
"3521804";"Itaí (SP)";"Total";"Total";"Total";"613";"375"
"3521903";"Itajobi (SP)";"Total";"Total";"Total";"595";"477"
"3522000";"Itaju (SP)";"Total";"Total";"Total";"205";"139"
"3522109";"Itanhaém (SP)";"Total";"Total";"Total";"57";"35"
"3522158";"Itaoca (SP)";"Total";"Total";"Total";"127";"65"
"3522208";"Itapecerica da Serra (SP)";"Total";"Total";"Total";"87";"62"
"3522307";"Itapetininga (SP)";"Total";"Total";"Total";"1291";"931"
"3522406";"Itapeva (SP)";"Total";"Total";"Total";"1231";"823"
"3522505";"Itapevi (SP)";"Total";"Total";"Total";"5";"2"
"3522604";"Itapira (SP)";"Total";"Total";"Total";"495";"322"
"3522653";"Itapirapuã Paulista (SP)";"Total";"Total";"Total";"310";"157"
"3522703";"Itápolis (SP)";"Total";"Total";"Total";"782";"437"
"3522802";"Itaporanga (SP)";"Total";"Total";"Total";"924";"678"
"3522901";"Itapuí (SP)";"Total";"Total";"Total";"80";"44"
"3523008";"Itapura (SP)";"Total";"Total";"Total";"261";"207"
"3523107";"Itaquaquecetuba (SP)";"Total";"Total";"Total";"49";"34"
"3523206";"Itararé (SP)";"Total";"Total";"Total";"682";"500"
"3523305";"Itariri (SP)";"Total";"Total";"Total";"214";"126"
"3523404";"Itatiba (SP)";"Total";"Total";"Total";"331";"202"
"3523503";"Itatinga (SP)";"Total";"Total";"Total";"216";"96"
"3523602";"Itirapina (SP)";"Total";"Total";"Total";"228";"70"
"3523701";"Itirapuã (SP)";"Total";"Total";"Total";"205";"116"
"3523800";"Itobi (SP)";"Total";"Total";"Total";"125";"68"
"3523909";"Itu (SP)";"Total";"Total";"Total";"247";"68"
"3524006";"Itupeva (SP)";"Total";"Total";"Total";"116";"63"
"3524105";"Ituverava (SP)";"Total";"Total";"Total";"247";"120"
"3524204";"Jaborandi (SP)";"Total";"Total";"Total";"136";"66"
"3524303";"Jaboticabal (SP)";"Total";"Total";"Total";"301";"139"
"3524402";"Jacareí (SP)";"Total";"Total";"Total";"398";"193"
"3524501";"Jaci (SP)";"Total";"Total";"Total";"163";"76"
"3524600";"Jacupiranga (SP)";"Total";"Total";"Total";"505";"370"
"3524709";"Jaguariúna (SP)";"Total";"Total";"Total";"67";"27"
"3524808";"Jales (SP)";"Total";"Total";"Total";"1012";"719"
"3524907";"Jambeiro (SP)";"Total";"Total";"Total";"105";"65"
"3525102";"Jardinópolis (SP)";"Total";"Total";"Total";"231";"130"
"3525201";"Jarinu (SP)";"Total";"Total";"Total";"188";"108"
"3525300";"Jaú (SP)";"Total";"Total";"Total";"333";"148"
"3525409";"Jeriquara (SP)";"Total";"Total";"Total";"80";"25"
"3525508";"Joanópolis (SP)";"Total";"Total";"Total";"210";"133"
